country,country_code,year,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,GC.TAX.INTT.RV.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SI.POV.GINI,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,ST.INT.XPND.CD
Canada,CAN,2022,4.048309744686,2.29317324184365,1.12800880720952,91.2387,42.1792,1699682.0,94.0,33.9431906669379,33.374430889461,7.90676213077326,7.90676213077326,4.18903628100851,56256.8007264015,,,,1.80390457488184,38935934.0,1.26284024196041,18.248,1.9250771414666,81.752,,,
Canada,CAN,2023,4.08492890022951,1.93601776565032,1.00483121351516,94.1497,42.5242,1706155.0,93.9564,33.3498760996793,33.2824552373876,1.3572659269347,1.3572659269347,1.52874550838358,54220.3285039875,,,,2.90468017061162,40083484.0,2.30004899065608,18.138,3.03914326883352,81.862,,,
Canada,CAN,2024,3.86306756314717,2.62340440884912,0.897609803272928,,,1639684.0,,32.4613353439237,32.717698647348,3.03631769454921,3.03631769454921,1.5280811085284,54282.6176051733,,,,2.96220294420494,41288599.0,2.30952035537851,18.02,3.1062418205964,81.98,,,
Colombia,COL,2019,0.976218890297516,4.33058240931506,1.37730083913839,132.811,13.9253,39298.0,65.0069,15.8680386541241,21.6904953267149,4.00262054293638,4.00262054293638,3.18685539245533,6472.54544924705,98.8300018310547,95.25,51.3,1.78615507724394,49907985.0,0.0756334362558408,18.896,2.18891859903695,81.104,4531000.0,4479000.0,5658000000.0
Colombia,COL,2020,0.641190771333668,2.7588942895314,1.06737126418201,133.661,15.3363,20646.0,69.7953,13.5222755593302,20.5332954086799,1.48172462037553,1.48172462037553,-7.18591413760859,5339.68711357943,99.0100021362305,95.6399993896484,53.5,1.43632167326968,50629997.0,-0.27704624032024,18.575,1.83132885907728,81.425,1396000.0,1275000.0,1576000000.0
Colombia,COL,2021,0.998608409489945,3.00175693787234,1.41924810181097,146.628,16.4768,33071.0,73.0284,16.1970059548864,23.8621404387264,7.80211309545884,7.80211309545884,10.8011981904878,6222.62164397614,99.1,95.666552016916,55.1,1.09642825395961,51188173.0,-0.61394806882992,18.26,1.48254202183083,81.74,,,
Colombia,COL,2022,0.978931362975407,4.97124137726565,1.69394857338843,156.195,17.0075,34646.0,72.7964,20.3883679938331,27.8942871185028,14.9250366806978,14.9250366806978,7.32827729427979,6680.44506854481,98.9,95.3138834471897,54.8,1.06829295530618,51737944.0,-0.643978337682665,17.95,1.44682584119146,82.05,,,
Colombia,COL,2023,0.346389567858682,4.58478761240549,1.32542610114102,166.98,17.037,58030.0,77.3369,17.8316784070298,22.5564540863658,6.9523623210511,6.9523623210511,0.712380031974334,7000.83660501046,99.0,95.4625553716428,53.9,1.12092864340999,52321152.0,-0.587175749722585,17.646,1.49075099146876,82.354,,,
Colombia,COL,2024,1.0933802457239,3.40925590060448,,,,59561.0,,15.97281920951,20.9158739522507,5.77650128290072,5.77650128290072,1.7438014504116,7913.98801464547,98.9599990844727,95.3399963378906,,1.07447920962035,52886363.0,-0.628708613480075,17.348,1.43567804992394,82.652,,,
France,FRA,2019,3.11018903168592,1.96486943301561,0.0044265282023529,109.601,45.2765,1971311.0,83.3397,32.8895593910847,33.5394177830602,1.21052308336793,1.21052308336793,2.02744646419237,40408.2848574751,,,31.2,0.332559129027963,67382061.0,-1.03179527466861,19.291,0.661441007392893,80.709,217877000.0,49276000.0,59751000000.0
