artist_name,country
Grupo Maximo Grado,MX
Las 2K,ES
IZ*ONE,KR
ATE,ZA
Khalid,US
RM,KR
Prynce,DE
KILATE TESLA,NL
Mc Pedrinho,BR
De-papzo,GB
Boro,IT
Wiatr,Poland
Link do Zap,BR
Totoy El Frio,CO
Gwangil Jo,NO
Stallin Matsitsa,ZAs
İkilem,IT
Big Sean,United States
YU-KA,Japan
Jone Quest,PR
Rsko,FR
Zeynep Bastık,Turkey
Nathan Evans,DE
Ryu,United States
Mafia Mike,GB
nayt,IT
Pezet,Poland
Kaushik-Guddu,India
MK Productions,US
Maurin,IL
DJ TS,CH
Matteo Romano,Italy
Nicky Jam,US
RoseReal,UNKNOWN
Rihanna,Barbados
Calum Scott,United Kingdom
Pilar Moxó,CZ
Xamã,Brazil
Kweyama Brothers,US
Manu Manjith,India
Duke Montana,Italy
Macias,FR
Los Pleneros de la Cresta,PR
A.R. Rahman,India
Sebas,EC
Doda,PL
Tropa da W&S,BR
Tekmill,Turkey
Amo,JP
DJ Angelo,US
K-391,NO
Phyno,NG
Veiga no Beat,BR
Cristian Di Marco,UNKNOWN
Matheus & Kauan,BR
Dream Supplier,UNKNOWN
Rich Amiri,United States
Saweetie,US
MC Ingryd,BR
Favst,Poland
Santa Fe Klan,MX
Kayah,PL
Montiego,IR
Sidhu Moose Wala,IN
Daft Punk,FR
MC Menor JP,BR
L-Gante,Argentina
NGEE,DE
Nia Pearl,US
Pooja Saxena,IN
Sharn,India
DJ Guti BPM,ZA
Yanda Woods,US
Sorry Boys,US
Arcángel,PR
DJ Luian,PR
Peso Pluma,MX
GULEED,SE
Emis Killa,IT
Arz,United Kingdom
Farruquito,Spain
Eslabon Armado,US
Surya Ragunaathan,UNKNOWN
Tony Kakkar,US
Konke,UNKNOWN
Olivia Dean,US
Offset,US
QWER,KR
Kauta,UNKNOWN
Petter Ferraz,SE
Jere Klein,CL
Wroobel,PL
Jack & Jack,US
1986zig,DE
Luna,JP
Ammy Virk,India
Shenseea,JM
Airbag,ES
Ulises Bueno,UNKNOWN
Banx & Ranx,CA
Ice Spice,US
Lolo OG,AR
Lewis Somes,US
sanny,UNKNOWN
Pedro Lotto,MX
Forxst,UNKNOWN
LACAZETTE,DE
Souly,DE
Tiger Hu,GB
Wes Nelson,US
El Mago Y La Nueva,UNKNOWN
攬佬SKAI ISYOURGOD,CN
Weeekly,KR
AR刘夫阳,JP
AUDREY NUNA,US
slowez,UNKNOWN
fire hair,US
Priya Saraiya,India
Kwesta,ZA
MOLIY,US
Igow,BR
Rafonix,PL
Denz,GB
De Mthuda,ZA
João Bosco e Gabriel,US
Halodayı,UNKNOWN
Dj Lekusto,UNKNOWN
Kabza De Small,ZA
Endzone,Switzerland
Leellamarz,KR
Umketule,UNKNOWN
Mckdaddy,KR
Rana Sotal,UNKNOWN
Greg Taro,DE
Paul Russell,Kingdom of the Netherlands
The Mamas,GB
Avie,UNKNOWN
Macfowlen,UNKNOWN
Teddy Cream,GB
Enes Batur,TR
Alfa,Italy
Otsochodzi,PL
Bianca,DE
MILES,US
Murtuza Khan,UNKNOWN
Humberto & Ronaldo,BR
Nogizaka46,UNKNOWN
Skytech,UNKNOWN
BLANCO,DE
i wanna be a jack-o-lantern,UNKNOWN
Grupo Codiciado,MX
Lebzito,UNKNOWN
Dallass,BR
Lunis,FR
NESS,Austria
Honaiser,BR
Sia,Australia
Michał Żagan,UNKNOWN
Nomcebo Zikode,ZA
Loco,South Korea
Fred De Palma,IT
Delilah Montagu,GB
Ego Slimflow,UNKNOWN
Francesco Gabbani,IT
WIKTOR,PL
Ka-Meal,PL
La Nueva Escuela,UNKNOWN
LA Vision,Italy
Kane Keid,NL
Thiago Brava,BR
Elvish Yadav,India
King,US
Aymo,UNKNOWN
El Gudi,UNKNOWN
Ayox,Nigeria
Dj Kevin Oficial,US
MC Kapela,RU
Jay Music,US
Yanomi,UNKNOWN
Jessi Uribe,CO
Lucio101,DE
Lolloflow,IT
Thomas Stenström,SE
LUM!X,AT
Seven Kayne,Argentina
FAYAN,UNKNOWN
LiSA,JP
Ikke Hüftgold,DE
A.M. Turaz,UNKNOWN
Asake,NG
Nicky Youre,US
CORTIS,KR
Omit ST,NZ
Juacko,Spain
Supernova Ent,UNKNOWN
DJ Stokie,UNKNOWN
Fanatic SA,US
Rvfv,ES
Sebastian Yatra,DE
Mc Dena,RU
JAS,Kingdom of the Netherlands
SVM!R,US
CBW,UNKNOWN
Tems,NG
Jul,FR
Slidoo Man,JM
Turma do Pagode,BR
Brent Faiyaz,US
Nitesh Ujoli,UNKNOWN
Soge Culebra,ES
Sublahshini,India
Sophie Ellis-Bextor,GB
Chael Produciendo,UNKNOWN
CYRIL,FR
Victoria Monét,US
elaggume,UNKNOWN
The Walters,GB
DJ Tira,CH
BENITO,ES
Petit,FR
Norma Jean Martine,GB
DJ Dael,CH
Beret,ES
Tenxi,ID
La Mosca,AR
NDS,IN
JJ Lin,US
Dat Boi Dee,IT
Medina,DK
Mari Fernandez,MX
GISELLE,AU
Veysel,DE
Kygo,NO
Lyna Mahyem,FR
JHAYCO,PR
mc jhenny,UNKNOWN
Yei Gonzalez,SE
Luxury SA,US
Arash,SE
Papu DJ,CH
zzoilo,ES
ILIRA,CH
Sebastian Walldén,DE
Lennis Rodriguez,ES
Paco Amoroso,AR
Kate Bush,United Kingdom
Flex,PA
Kollegah,DE
Megot,UNKNOWN
Au/Ra,AG
Johnny Drille,US
iam.psalm,UNKNOWN
M.O.M,UNKNOWN
Cheque,NG
Talita Mel,US
MC Menor da VG,UNKNOWN
Vigiland,UNKNOWN
Emtee,ZA
Kalben,TR
Topic,DE
Sushin Shyam,India
Zaba,UNKNOWN
Don Chezina,US
Dan Caplen,GB
Shift K3Y,GB
Shadab Faridi,IN
Vijai Bulganin,India
Javiielo,UNKNOWN
ADI,SI
Le classico organisé,FR
DJ Ivis,BR
Chicco,ZA
Ntò,FR
Robert Miles,US
Black Sherif,GB
Mata,BA
La Receta,UNKNOWN
estraden,SE
Yıldız Tilbe,TR
Sokrat St,TR
Farruko,PR
Stephen Sanchez,US
5iftyy,SE
Naiara Azevedo,BR
Oskar Linnros,Sweden
Chris Marshall,GB
JeanJass,BE
Berkay Altunyay,TR
Gory,IT
Sai Smriti,UNKNOWN
Ege Balkiz,UNKNOWN
GOT the beat,GB
The Vamps,UNKNOWN
Dance Fruits Music,UNKNOWN
Tiwa Savage,United Kingdom
DJ Biel Divulga,UNKNOWN
Desi Crew,US
Key-Key,HN
DELLAFUENTE,ES
Chani Nattan,UNKNOWN
Dinky Kunene,UNKNOWN
Lomepal,FR
KyoungSeo,KR
Magixx,Nigeria
Kay One,DE
Mila,BD
Cazzu,AR
J Hus,GB
Vanessa Paradis,FR
Taiu,AR
Krzysztof Zalewski,PL
Shakes & Les,UNKNOWN
Vargas & Lagola,SE
Paul Rey,US
DJ Zinhle,ZA
Drast,IT
De Vet Du,SE
SiarBeats,UNKNOWN
C ARMA,FR
Naykilla,ID
Mez,UNKNOWN
Dennis,JM
ARIETE,UNKNOWN
DJ 2F,CH
Kerchak,FR
Ana Castela,BR
Dj Serpinha,CH
Pop Smoke,US
Joaquin Medina,ES
Avvy Sra,UNKNOWN
THABITI,FR
SPINALL,UNKNOWN
Thapelo Ghutra,UNKNOWN
Yorghaki,UNKNOWN
MYA,US
Måneskin,IT
