rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
190,"spotify:track:60DwQiwwglVkTkTwDTTEId","JP Cooper, Astrid S","Sing It With Me","Universal-Island Records Ltd.",71,199,16,"131662"
191,"spotify:track:4Fnbmr8ZjY7FHOorvq9q8V","William Segerdahl","Problem","Moon Man Records",112,196,7,"131350"
192,"spotify:track:0uUNN1nSoUx1A4fkDCWDQ7","Ava Max","So Am I","Atlantic Records",17,187,31,"131007"
193,"spotify:track:1IHXQ1VBdCWaYkr9G8Y385","De Vet Du","Höjer Våra Glas","WM Sweden",12,190,24,"130730"
194,"spotify:track:4SSnFejRGlZikf02HLewEF","Billie Eilish","bury a friend","Darkroom/Interscope Records",1,191,37,"129999"
195,"spotify:track:1AFl1yMcj9fwfgW83EZ5b0","Ricky Rich","Portugal","Ricky Rich",66,165,5,"129674"
196,"spotify:track:497cpGuNU5WZSwyjKC0SyN","Myra Granberg","Tills mitt hjärta går under","Sony Music Local",187,-1,2,"129286"
197,"spotify:track:0vrmHPfoBadXVr2n0m1aqZ","Avicii","Heaven","Pophouse Entertainment Group",2,185,19,"128708"
198,"spotify:track:4u7EnebtmKWzUH433cf5Qv","Queen","Bohemian Rhapsody - Remastered 2011","Hollywood Records",37,-1,46,"128481"
199,"spotify:track:6uqLK9MCaTqVEOCM6Jwj4d","Juice, Einár","Paigons","Fivestar Records",18,163,15,"128318"
200,"spotify:track:5vwnGfnh0zrjbKKRNFiSMg","Ringnes-Ronny, DJ FITTE","Førsterekka 2020","Ringnes-Ronny",200,200,3,"128138"
