rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
111,"spotify:track:1eIXYZWEfJO3Na2LCCnIJE","SZA","Love Language","Top Dawg Entertainment/RCA Records",29,146,5,"43836"
112,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",85,140,23,"43547"
113,"spotify:track:1gZ9sXMHzIfqOdQsYKUYoc","De Mthuda, Ami Faku","Buya","Universal Music (Pty) Ltd.",30,152,4,"43363"
114,"spotify:track:5hVjoL3sHepZROri63wBxP","Burna Boy","It's Plenty","Spaceship/ Bad Habit/Atlantic Records",29,104,25,"43326"
115,"spotify:track:6oqzsWXndalljWVeU2MjDq","Kelvin Momo, Aymos, Babalwa M","Inyembezi (feat. Babalwa M and Aymos)","Kelvin Momo Productions",74,74,15,"42323"
116,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",20,123,62,"41906"
117,"spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6","Tems","Free Mind","Leading Vibe Ltd",68,149,39,"41767"
118,"spotify:track:6n3HGiq4v35D6eFOSwqYuo","Drake","Teenage Fever","Cash Money Records/Young Money Ent./Universal Rec.",70,157,43,"41385"
119,"spotify:track:4wVOKKEHUJxHCFFNUWDn0B","Drake, GIVĒON","Chicago Freestyle (feat. Giveon)","OVO",5,153,115,"41291"
120,"spotify:track:6qXoZby29Lp0QmA4NsSE0J","Dodo Nyoka","Foto's","Warner Music Africa",86,122,10,"41222"
121,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",20,136,25,"41166"
122,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",14,139,32,"40891"
123,"spotify:track:7b2YXPWXRzzIN2fmGM5Dzi","Kelvin Momo, Mashudu, Yumbs","Umoya (feat. Mashudu & Yumbs)","Kelvin Momo Productions",19,151,5,"40284"
124,"spotify:track:0RwvdQ3H9kSo1lk9IFTBqf","Riaan Benadé, Jay","Rowwe Bliksem","WM South Africa",35,100,50,"40124"
125,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",21,142,67,"39999"
126,"spotify:track:7GaFYUqP2WdR4KTPk7cXoP","Mario","Let Me Love You","J Records",120,166,214,"39870"
127,"spotify:track:4iq6mQd3Hkj1BUYC09t3rP","Kususa, Argento Dust, Zakes Bantwini","Asanda","Universal Music (Pty) Ltd.",121,121,6,"39815"
128,"spotify:track:14SaZBTjxlorHJQxXh01Hu","Summer Walker, Drake","Girls Need Love (with Drake) - Remix","LVRN/Interscope Records",43,170,144,"39745"
129,"spotify:track:1grMFirLZsqR452CEwBKSV","Nomfundo Moh, Sha Sha, Ami Faku","Phakade Lami","Universal Music (Pty) Ltd.",17,106,63,"39304"
130,"spotify:track:1e4kVDvQEnCXmwIyRnQ9Sp","ESK MUSIQ","STOP n GO","broke",34,129,10,"39241"
131,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",56,167,51,"39172"
132,"spotify:track:5bJEHJ8BPTn7dYM7EYmwvE","Eloff","Witblits","Select Musiek",105,133,25,"39136"
133,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",85,192,247,"39078"
134,"spotify:track:3bDZnbdUWy02rqFzb5Sooi","Irene-Louise Van Wyk","Tekkies Brand","WM South Africa",65,111,71,"39034"
135,"spotify:track:5oMumOpP2Bavh3JyjbOqP5","Brendan Peyper","Toer Om Die Vloer","Select Musiek",135,137,6,"38932"
136,"spotify:track:43PuMrRfbyyuz4QpZ3oAwN","Bryson Tiller","Exchange","TrapSoul/RCA Records",114,179,49,"38346"
137,"spotify:track:3XgGQ1wjo5khvq2UImjyNF","Brent Faiyaz","ALL MINE","Lost Kids LLC., Marketed by Venice / Stem",17,175,22,"38317"
138,"spotify:track:4tqcoej1zPvwePZCzuAjJd","J. Cole","Wet Dreamz","Roc Nation Records LLC",108,186,41,"38230"
139,"spotify:track:1eUGmzzvahJjOSWgDHuRlv","Miguel","Girl With The Tattoo Enter.lewd","Jive",139,-1,1,"38220"
