rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
135,"spotify:track:2yjlYDiNiQkdxVqTlaSrlX","Nicki Minaj","Super Freaky Girl","Republic Records",45,127,9,"22730"
136,"spotify:track:4Fdm46tacCOcpBCk8K7dL3","Black Sherif","Don't Forget Me","Blacko Management / EMPIRE",136,-1,1,"22607"
137,"spotify:track:4ucXeGcKKzubgHb932T6sl","Babyboy AV","Confession","Babyboy AV under exclusive license to Amuseio AB",67,115,35,"22327"
138,"spotify:track:6qk3jI8bKCgURI3h0d8zBZ","Wande Coal","Again","Starstruck Management, Inc. / EMPIRE",112,181,28,"22266"
139,"spotify:track:54q1vzK5sUXvNtxJCDrXGT","Show Dem Camp, Victony","Head Over Heels","Show Dem Records / Tems appears courtesy of Since 93/RCA Records / TOBi appears courtesy of Same Plate/RCA Records",55,55,2,"22193"
140,"spotify:track:4pR4oQJULf7FDB54TleMyH","Limoblaze, Lecrae, Happi","Jireh (My Provider)","Limoblaze Music",95,118,5,"22132"
141,"spotify:track:5SoDaPgXA4C2BuTPPInaV2","Burna Boy","Science","Spaceship/ Bad Habit/Atlantic Records",8,125,14,"22081"
142,"spotify:track:5FG7Tl93LdH117jEKYl3Cm","Wizkid, Tems","Essence (feat. Tems)","Starboy/RCA Records",95,130,35,"21597"
143,"spotify:track:6azpaZYOCLhhWr2amkJ1tQ","Ladé","Adulthood Anthem","Omolade Oyetundun 'Ladé'",35,158,19,"21481"
144,"spotify:track:74loibzxXRL875X20kenvk","Lil Yachty","Poland","Quality Control Music/Motown Records",144,-1,1,"21354"
145,"spotify:track:7Ddk8FhoYKdsVoX9AOCPMm","DJ Khaled, Drake, Lil Baby","STAYING ALIVE (feat. Drake & Lil Baby)","Epic/We The Best",43,131,10,"21322"
146,"spotify:track:0int0g8dikLn0uhd1b1iZu","Mohbad","Feel Good","Marlian Music",44,138,35,"21148"
147,"spotify:track:3N3PWNgtiqsdLY5PQTKw6w","Olamide","Rock","YBNL Nation / EMPIRE",65,147,35,"20968"
148,"spotify:track:2cgamRofJ1iWxAHD801DNu","Burna Boy, Khalid","Wild Dreams (feat. Khalid)","Spaceship/ Bad Habit/Atlantic Records",13,150,14,"20823"
149,"spotify:track:4upQnh3K5k1xbVOr97fdG7","Kizz Daniel, The Cavemen.","Oshe (feat. The Cavemen.)","FlyBoy INC / EMPIRE",27,143,35,"20711"
150,"spotify:track:1DrfpnLvbwndPScRLwbUE0","Kizz Daniel","Pour Me Water","FlyBoy INC / EMPIRE",42,132,35,"20598"
151,"spotify:track:6g8vNyogMW32lhHlNcDiwX","Fireboy DML, Chris Brown, Shenseea","Diana","YBNL Nation / EMPIRE",12,160,10,"20588"
152,"spotify:track:7sSpKoxxtecQry1wxVmpIz","BNXN","For Days","T.Y.E. / EMPIRE",12,140,28,"20440"
153,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",31,137,17,"20342"
154,"spotify:track:2dGE7HMvZEjuNxzz4IDLyL","Burna Boy","Jagele","Spaceship/ Bad Habit/Atlantic Records",9,136,14,"20329"
155,"spotify:track:03DxO8kGNrEGr1VjPSdQs2","Kizz Daniel","Lie","FlyBoy INC / EMPIRE",28,-1,34,"20140"
156,"spotify:track:3vTW0qXIitjhZW5kfTwBTv","Davido, Focalistic","Champion Sound","Columbia",19,146,35,"20054"
157,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",67,149,28,"19721"
158,"spotify:track:00ZYd7GYdFrNZFQP5O5T5m","Ajebo Hustlers, FAVE","In Love","Avante Entertainment",50,161,20,"19326"
159,"spotify:track:5DS9LiyEdw2zY8bM6kjjgM","Olamide, Omah Lay","Infinity (feat. Omah Lay)","YBNL Nation / EMPIRE",47,175,35,"18993"
160,"spotify:track:5Zez1biAREA2C8706kdlIb","Iyanya, Davido, Kizz Daniel","Like (feat. Kizz Daniel)","Ziiki Media",60,162,13,"18971"
161,"spotify:track:0hFgFEdlRzbWGZGEHiCwPy","Magixx","Shaye","Mavin Records",68,182,12,"18935"
