rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
124,"spotify:track:2Jij6ebp6ToNKOn5DWlGxV","Bausa","Mary","WM Germany",10,124,54,"618085"
125,"spotify:track:3YXJqU43gOzDL9Oxu4hpHy","Mois, Sokko167, Albozz","Vorbei (feat. Sokko167 & Albozz)","Keller GmbH/WM Germany",36,36,2,"610534"
126,"spotify:track:6cy3ki60hLwimwIje7tALf","Black Eyed Peas, J Balvin","RITMO (Bad Boys For Life)","Epic/We The Best",29,122,24,"601884"
127,"spotify:track:1lht8jb3c6rEiVaqX94enH","Jerome","Light","Kontor Records",33,131,26,"601647"
128,"spotify:track:2nC3QhMI9reBIOWutbU3Tj","Ashe","Moral of the Story","Mom+Pop",50,96,7,"594738"
129,"spotify:track:1B89LtaW92jj4AqT7OZ0Fj","Nimo, Hava","KEIN SCHLAF","Urban",1,123,18,"590613"
130,"spotify:track:2kkcJ8tSDV42LdWcPjy6We","Samra, Capital Bra","Wieder Lila","Urban",1,125,47,"587041"
131,"spotify:track:1R4xkZXQUQ8QJtAdwHkSgC","Samra","Mon Ami","Urban",2,110,11,"580821"
132,"spotify:track:0H9WHopZ62JeDaGau7REMw","Pashanim","Shababs botten","Urban",71,132,21,"579645"
133,"spotify:track:7AgLXVsuToMUB8BlPdiWxr","Ramon Roselly","Eine Nacht","Electrola",133,-1,1,"578524"
134,"spotify:track:5XVPNr0CAoUn1jD033Ucoo","Gzuz","Donuts","187 Strassenbande",2,116,11,"571622"
135,"spotify:track:0TId5TSbdcBP32haUV4Aet","VIZE, Laniia","Stars (feat. Laniia)","Ultra Records, LLC",20,141,45,"567855"
136,"spotify:track:3jjujdWJ72nww5eGnfs2E7","Harry Styles","Adore You","Columbia",82,128,18,"567649"
137,"spotify:track:240BX4w7PFkHptDrSVZgbA","Nico Santos","Play With Fire","Intercord",61,114,15,"566061"
138,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",54,130,83,"558905"
139,"spotify:track:4UOXo3xWnxYdTf3sFyRaUG","Bonez MC, RAF Camora","500 PS","187 Strassenbande & Vertigo/Capitol",1,135,88,"555678"
140,"spotify:track:0YU17F0BlVXvmx5ytsR43w","LUM!X, Gabry Ponte","Monster","Spinnin' Records",34,140,43,"551359"
141,"spotify:track:1DFD5Fotzgn6yYXkYsKiGs","MEDUZA, Goodboys","Piece Of Your Heart","Intercord",8,155,51,"545509"
142,"spotify:track:6JZrs7FFUkTpinCxM1DG3E","Mozzik","AUF WIEDERSEHEN","Urban",7,119,8,"545082"
143,"spotify:track:4wNIkl5XGiAACjFBlDWuSd","Jonas Brothers","What A Man Gotta Do","Republic Records",70,143,12,"541659"
144,"spotify:track:0mjAU3yKR1QnXnHtjGJqTM","OneRepublic","Rescue Me","Mosley Music/Interscope Records",25,162,46,"539213"
145,"spotify:track:3eekarcy7kvN4yt5ZFzltW","Travis Scott","HIGHEST IN THE ROOM","Cactus Jack/Epic",8,146,27,"532649"
146,"spotify:track:02itaCXOdC54J0ISjqqFAp","R3HAB, A Touch Of Class","All Around The World (La La La)","Casablanca Records",20,166,46,"530155"
147,"spotify:track:1iGM29PpHTyrra18Ft0w7O","Mert, Z","U23 (feat. Z)","Mula Brothers/WM Germany",15,97,5,"524547"
148,"spotify:track:7nkN1tnFIZIIS4P5q4Krmb","The Cratez, Bonez MC","Honda Civic","RBK",4,139,28,"523970"
149,"spotify:track:1FuJKBi6XdFyf8Yzmck468","Kontra K","Letzte Träne","BMG Rights Management GmbH",4,133,47,"522124"
150,"spotify:track:4AqN8IdKCfItCSbuaFch81","VIZE, Felix Jaehn","Thank You [Not So Bad]","Intercord",132,154,7,"518852"
151,"spotify:track:70eFcWOvlMObDhURTqT4Fv","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","Atlantic Records UK",8,160,41,"515659"
152,"spotify:track:7sVQVuy2cdPfMIHDH9IKaP","JIGGO, Monet192","Para, Money, E's","JIGGO",63,134,13,"511020"
153,"spotify:track:76IVpz47q3ghkxoUeTTEKb","Samra","COLT","Urban",2,144,18,"508704"
154,"spotify:track:5sMugAU31Ug5SAUUbhBIKU","Loredana, Mozzik","Eiskalt","Loredana",1,148,36,"507448"
155,"spotify:track:5nmVf5dSgH4A25qsev28Mi","Dardan, Xiara","gENAuSo","Hypnotize Entertainment",4,147,34,"499719"
156,"spotify:track:2p8IUWQDrpjuFltbdgLOag","The Weeknd","After Hours","Republic Records",34,120,7,"491473"
157,"spotify:track:3L6zkcBfrkG9BMmEKDD3ES","Ardian Bujupi","Ohne Warnung","Columbia Local",157,-1,1,"489736"
158,"spotify:track:7My1iCGUznwNztIokee32S","Jerome","Take My Hand","Kontor Records",158,177,4,"489673"
159,"spotify:track:3uTiW4Tjt6FqSPRYNgzW5t","Nimo","KARMA","Urban",2,164,23,"487831"
160,"spotify:track:6oJ6le65B3SEqPwMRNXWjY","Kygo, Whitney Houston","Higher Love","Kygo/RCA Records",46,180,39,"485208"
161,"spotify:track:5IW6QpcJyGAqzOio7Tqy1P","Fler, Sido","LOST","MASKULIN",4,115,4,"484011"
162,"spotify:track:0PEwVF6TStGXMTnQMAk9kl","Apache 207","Sex mit dir","Four Music Local",9,153,24,"481066"
163,"spotify:track:6Q3K9gVUZRMZqZKrXovbM2","Kygo, Sasha Alex Sloan","I'll Wait","Kygo",163,-1,1,"480329"
164,"spotify:track:0rl7zpqNO7xPbe2CDvyoks","CAPO","Karakol","WM Germany",11,136,6,"479465"
165,"spotify:track:5rywC2PH49hTpJLXxwGlpE","Katja Krasavice","CASINO","Katja Krasavice/WM Germany",38,152,16,"478338"
166,"spotify:track:36orMWv2PgvnzXsd5CJ0yL","Sam Feldt, RANI","Post Malone (feat. RANI)","Spinnin' Remixes",70,185,25,"477050"
167,"spotify:track:25sgk305KZfyuqVBQIahim","Ava Max","Sweet but Psycho","Atlantic Records",2,161,78,"474599"
168,"spotify:track:1MkDGQvM8CRrMIcHxjTni5","Symba","Blockparty","Symba",168,194,7,"472829"
169,"spotify:track:0E9ZjEAyAwOXZ7wJC0PD33","Dynoro, Gigi D'Agostino","In My Mind","Columbia/B1 Recordings",1,175,100,"472731"
170,"spotify:track:3nsibamIriIrk08seTP7r9","Veysel","Gazoz Limon","Bela Boyz",51,51,2,"472296"
171,"spotify:track:0hVXuCcriWRGvwMV1r5Yn9","Ed Sheeran & Justin Bieber, Justin Bieber","I Don't Care (with Justin Bieber)","Atlantic Records UK",3,158,48,"464911"
172,"spotify:track:6gZEyiqUvEpWpJYz7QjLjx","MAJAN, Megaloh, Schmyt","Monoton","Four Music/Schere Stein Papier",172,-1,1,"458294"
173,"spotify:track:2vuFdbSOLje3khV4rLSEpm","SDP, Capital Bra","Viva la Dealer","Berliner Plattenbau",25,159,56,"457641"
174,"spotify:track:285pBltuF7vW8TeWk8hdRR","Juice WRLD","Lucid Dreams","Juice WRLD Mixtape / ISR P&D",28,165,62,"457476"
175,"spotify:track:3Fvyabi22FlOquk9Yr35ab","Nullzweizwei, RUFUZ, BAZU","Popu","WM Germany",175,-1,1,"450155"
176,"spotify:track:6osaMSJh9NguagEDQcZaKx","DJ Snake, J Balvin, Tyga","Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake Music Productions Limited",5,-1,41,"446711"
177,"spotify:track:05Mp2UJulSttxQ4E6hQPH3","Bonez MC, RAF Camora, Maxwell","Ohne mein Team","AUF!KEINEN!FALL!",9,187,157,"445021"
178,"spotify:track:6erIvryBSsAdebNU4a7Mrs","Juju","Hi Babe","JINX",10,176,42,"444902"
179,"spotify:track:2kJu14V7hbZw3I4K8L8SXb","Lady Gaga","Stupid Love","Interscope",71,138,6,"441685"
180,"spotify:track:15W80Swo6DecIiAP7CQgm4","LX, Maxwell, The Cratez","Hotbox","RBK",20,89,3,"438208"
181,"spotify:track:7gqefhSJfWyN1qQ2huvEze","Tim Bendzko","Hoch","Jive",23,174,34,"436993"
182,"spotify:track:6ap9lSRJ0iLriGLqoJ44cq","24kGoldn","CITY OF ANGELS","Records/Columbia",160,163,6,"435679"
183,"spotify:track:7AO4SbDUqGQ3vY6SQYEFRZ","le Shuuk","Sandmann","Kontor Records",119,184,9,"435233"
184,"spotify:track:1s0nANz8q6gEZOms034GbU","reezy, Summer Cem","PHANTOM (feat. Summer Cem)","Four Music Local",10,190,24,"427182"
185,"spotify:track:0WLhJ2NBuZHuoHY8pLVHJ0","Wiz Khalifa, Tyga","Contact (feat. Tyga)","Taylor Gang/Atlantic",137,137,2,"424122"
186,"spotify:track:0Cy2x4vkNHiZ2Z3XiZE5Yu","Kontra K, Veysel","Blei - feat. Veysel","BMG Rights Management GmbH",5,167,47,"421161"
187,"spotify:track:3mp4eePgg5RCjKKhjqrXMH","NGEE, Nimo","YA MASCHARA","Epic Local",75,75,2,"420244"
188,"spotify:track:665AK0ovB11McZRwfa852G","Vicetone, Tony Igy","Astronomia","b1",188,-1,1,"417669"
189,"spotify:track:5ohL55vbPhN999ETafibnk","VIZE","Glad You Came","NITRON media",32,-1,26,"417099"
190,"spotify:track:3psaDy7UhAPVFjq5q5Kyep","Moe Phoenix","WAS'N TYP","Life Is Pain",81,-1,7,"416930"
191,"spotify:track:3g0mEQx3NTanacLseoP0Gw","The Chainsmokers, ILLENIUM, Lennon Stella","Takeaway","Disruptor Records/Columbia",25,-1,29,"416723"
192,"spotify:track:73SpzrcaHk0RQPFP73vqVR","Billie Eilish","No Time To Die","Darkroom/Interscope Records",16,150,8,"415783"
193,"spotify:track:0U6bQIAh6MCGo1xjbIIx2S","Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, NATTI NATASHA, Dimitri Vegas, Like Mike","Instagram","Epic Amsterdam",24,-1,26,"414075"
194,"spotify:track:4xuVfUXkHe1YZZZWNICGcV","Kontra K","Erfolg ist kein Glück","Four Music Productions",186,188,6,"413989"
195,"spotify:track:6Y7ZEVr7lgO8FKGk2vZ2hi","Ufo361","Nur zur Info","Stay High",12,172,16,"413226"
196,"spotify:track:2YpeDb67231RjR0MgVLzsG","Lil Nas X, Billy Ray Cyrus","Old Town Road (feat. Billy Ray Cyrus) - Remix","Columbia",7,-1,50,"411429"
197,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",15,-1,84,"411237"
198,"spotify:track:2kJwzbxV2ppxnQoYw4GLBZ","JP Saxe, Julia Michaels","If the World Was Ending (feat. Julia Michaels)","Arista Records",87,183,13,"409990"
199,"spotify:track:16wAOAZ2OkqoIDN7TpChjR","Justin Bieber","Yummy","RBMG/Def Jam",20,181,14,"409670"
200,"spotify:track:5WHTFyqSii0lmT9R21abT8","Mabel","Don't Call Me Up","Polydor Records",18,-1,49,"408567"
